,Code,Name,Maps Link,Restaurant Link,Neighbour,City,State,Data-Address,Address,Tel
0,41067,Subway Centro,"https://maps.google.com/maps/dir/?api=1&destination=-12.4304146,-39.25029459999996&travelmode=driving",https://restaurantes.subway.com/subway-centro-santo-est-v-o-ba,centro-santo-estevao-bahia,santo-estevao,bahia,avenida-getulio-vargas-s-n-centro-santo-estevao-bahia,"                    Avenida Getúlio Vargas, S/n - Centro - Santo Estêvão - Bahia                ",tel:+557532453210
1,41082,Subway Barra,"https://maps.google.com/maps/dir/?api=1&destination=-13.0047407,-38.5237732&travelmode=driving",https://restaurantes.subway.com/subway-barra-salvador-ba,barra-salvador-bahia,salvador,bahia,supermercado-bom-preco-2786-supermercado-bom-preco-loja-5-barra-salvador-bahia,"                    Supermercado Bom Preço, 2786 - Supermercado Bom Preço - Loja 5 - Barra - Salvador - Bahia                ",
2,42701,Subway Centro,"https://maps.google.com/maps/dir/?api=1&destination=-12.9674,-39.27246&travelmode=driving",https://restaurantes.subway.com/subway-centro-santo-antonio-de-jesus-ba,centro-santo-antonio-de-jesus-bahia,santo-antonio-de-jesus,bahia,avenida-governador-roberto-santos-loja-166-itaguari-shopping-center-centro-santo-antonio-de-jesus-bahia,                    Avenida Governador Roberto Santos - Loja 166 - Itaguari Shopping Center - Centro - Santo Antônio De Jesus - Bahia                ,tel:+557136323572
3,42714,Subway Centro,"https://maps.google.com/maps/dir/?api=1&destination=-14.7916,-39.27625&travelmode=driving",https://restaurantes.subway.com/subway-centro-itabuna-ba,centro-itabuna-bahia,itabuna,bahia,rua-professor-alicio-de-queiros-118a-centro-itabuna-bahia,"                    Rua Professor Alício De Queirós, 118a - Centro - Itabuna - Bahia                ",tel:+557336125531
4,42699,Subway Centro,"https://maps.google.com/maps/dir/?api=1&destination=-14.21453,-42.78673&travelmode=driving",https://restaurantes.subway.com/subway-centro-guanambi-ba,centro-guanambi-bahia,guanambi,bahia,avenida-santos-dumont-terreo-centro-guanambi-bahia,                    Avenida Santos Dumont - Térreo - Centro - Guanambi - Bahia                ,tel:+557132418696
5,41417,Subway Cidade alta,"https://maps.google.com/maps/dir/?api=1&destination=-16.441127,-39.080461&travelmode=driving",https://restaurantes.subway.com/subway-cidade-alta-porto-seguro-ba,cidade-alta-porto-seguro-bahia,porto-seguro,bahia,estrada-do-aeroporto-s-n-porto-seguro-airport-cidade-alta-porto-seguro-bahia,"                    Estrada Do Aeroporto, S/n - Porto Seguro Airport - Cidade Alta - Porto Seguro - Bahia                ",tel:+557332681168
6,34616,Subway Centro,"https://maps.google.com/maps/dir/?api=1&destination=-23.1538136,-47.0547479&travelmode=driving",https://restaurantes.subway.com/subway-centro-itupeva-sp,centro-itupeva-sp,itupeva,sp,rua-jundiai-380-dentro-do-covabra-centro-itupeva-sp,"                    Rua Jundiaí, 380 - Dentro Do Covabra - Centro - Itupeva - SP                ",tel:+5511993225492
7,34964,Subway Vila Bela Vista,"https://maps.google.com/maps/dir/?api=1&destination=-23.55055,-46.31484&travelmode=driving",https://restaurantes.subway.com/subway-vila-bela-vista-suzano-sp,vila-bela-vista-suzano-sp,suzano,sp,rua-konoi-endo-vila-bela-vista-suzano-sp,                    Rua Konoi Endo - Vila Bela Vista - Suzano - SP                ,tel:+551147596391
8,34965,Subway Cambuí,"https://maps.google.com/maps/dir/?api=1&destination=-22.8888584,-47.0453515&travelmode=driving",https://restaurantes.subway.com/subway-cambu-campinas-sp,cambui-campinas-sp,campinas,sp,avenida-jose-de-souza-campos-cambui-campinas-sp,                    Avenida José De Souza Campos - Cambuí - Campinas - SP                ,tel:+551932520249
9,34968,Subway Tarumã,"https://maps.google.com/maps/dir/?api=1&destination=-25.4288341,-49.2274957&travelmode=driving",https://restaurantes.subway.com/subway-tarum-curitiba-pr,taruma-curitiba-pr,curitiba,pr,av-victor-ferreira-do-amaral-taruma-curitiba-pr,                    Av. Victor Ferreira Do Amaral - Tarumã - Curitiba - PR                ,tel:+554133666438
10,34969,Subway ,"https://maps.google.com/maps/dir/?api=1&destination=-23.43092,-46.50275&travelmode=driving",https://restaurantes.subway.com/subway-guarulhos-sp,-guarulhos-sp,guarulhos,sp,avenida-otavio-braga-de-mesquita-guarulhos-sp,                    Avenida Otávio Braga De Mesquita - Guarulhos - SP                ,tel:+551122016844
11,34971,Subway Kobrasol ,"https://maps.google.com/maps/dir/?api=1&destination=-27.5979129,-48.6145743&travelmode=driving",https://restaurantes.subway.com/subway-kobrasol-s-o-jos-sc,kobrasol-sao-jose-sc,sao-jose,sc,avenida-ledio-joao-martins-loja-3-kobrasol-sao-jose-sc,                    Avenida Lédio João Martins - Loja 3 - Kobrasol - São José - SC                ,tel:+5548991584651
12,34972,Subway Santa Mônica,"https://maps.google.com/maps/dir/?api=1&destination=-12.2556265,-38.943774&travelmode=driving",https://restaurantes.subway.com/subway-santa-m-nica-feira-de-santana-ba,santa-monica-feira-de-santana-ba,feira-de-santana,ba,avenida-getulio-vargas-santa-monica-feira-de-santana-ba,                    Avenida Getúlio Vargas - Santa Mônica - Feira De Santana - BA                ,tel:+557536225020
